payment_id,fraud_probability,amount,hashed_consumer_id
4020,0.5835547,34720,consumer_1151
10383,0.5835547,75050,consumer_1400
9595,0.594076,5970,consumer_1640
7925,0.5835547,17000,consumer_1897
7924,0.5908956,17000,consumer_1897
9703,0.76509994,9563,consumer_2488
9702,0.76509994,9567,consumer_2489
8137,0.65491927,9560,consumer_2491
8135,0.65491927,9680,consumer_2494
2132,0.7394646,9530,consumer_2518
2133,0.7394646,9560,consumer_2523
2131,0.7394646,9536,consumer_2524
8136,0.65491927,9563,consumer_2547
8134,0.65491927,9563,consumer_2552
6518,0.59905064,6999,consumer_2577
6519,0.59905064,6999,consumer_2577
6517,0.59905064,6999,consumer_2577
8185,0.76509994,9800,consumer_2583
8184,0.76509994,9800,consumer_2597
8186,0.76509994,9800,consumer_2612
10474,0.7713546,3374,consumer_2633
7830,0.7725152,2200,consumer_2635
10100,0.65311795,9400,consumer_2760
10101,0.6554339,9180,consumer_2762
10099,0.67027164,8800,consumer_2766
7359,0.6725304,8800,consumer_2768
9724,0.65311795,9400,consumer_2771
9725,0.65311795,9600,consumer_2774
9733,0.7917153,8500,consumer_2807
9734,0.77299935,8900,consumer_2808
8277,0.6945464,4275,consumer_2814
8222,0.76619726,9200,consumer_2818
8219,0.7917153,8500,consumer_2820
8221,0.76619726,9200,consumer_2822
2149,0.6554339,9400,consumer_2826
9726,0.6630951,9780,consumer_2827
2144,0.65311795,9600,consumer_2830
9727,0.6630951,9780,consumer_2832
2146,0.65311795,9700,consumer_2834
2145,0.65311795,9600,consumer_2835
2150,0.65311795,9780,consumer_2836
2148,0.6810957,8400,consumer_2837
2123,0.6761439,8350,consumer_2843
2120,0.6810957,8700,consumer_2844
2121,0.6617575,8900,consumer_2847
2147,0.67027164,8800,consumer_2849
2122,0.6761439,8550,consumer_2851
9693,0.6725304,8800,consumer_2852
9694,0.6761439,8500,consumer_2857
9695,0.65311795,9180,consumer_2862
9696,0.65311795,9600,consumer_2867
9697,0.65311795,9560,consumer_2869
9699,0.66004884,9000,consumer_2873
8220,0.76619726,9200,consumer_2875
9698,0.6281935,9200,consumer_2877
9692,0.6630951,9960,consumer_2882
9691,0.6630951,9600,consumer_2886
9739,0.6948454,8900,consumer_2887
9738,0.71316063,8500,consumer_2888
9737,0.76619726,9200,consumer_2890
9700,0.6653786,9960,consumer_2891
9736,0.77299935,8900,consumer_2894
9735,0.77299935,8900,consumer_2896
9601,0.81460965,8500,consumer_2908
7360,0.7899494,9200,consumer_2913
7361,0.7962442,8900,consumer_2916
1317,0.76062465,10600,consumer_2923
9976,0.7741875,7200,consumer_2963
10063,0.81460965,8500,consumer_2991
10084,0.80808115,8800,consumer_2996
9600,0.7899494,9200,consumer_3000
1179,0.55801904,10000,consumer_3039
2312,0.5890411,34720,consumer_3122
2151,0.7858234,8800,consumer_3167
8215,0.76619726,9200,consumer_3183
10097,0.67999715,8800,consumer_3194
9707,0.60334086,6175,consumer_3197
9706,0.6057885,6500,consumer_3215
2127,0.6783818,8350,consumer_3231
7394,0.66004884,9000,consumer_3254
12818,0.6368957,3530,consumer_3261
10082,0.66004884,9000,consumer_3266
10083,0.6441658,8800,consumer_3271
10093,0.6761439,8350,consumer_3276
2124,0.71525043,8600,consumer_3279
9847,0.53581953,2850,consumer_3281
10094,0.6761439,8200,consumer_3289
2126,0.7058721,8800,consumer_3298
9762,0.6799994,7980,consumer_3299
2125,0.68887424,8500,consumer_3301
10074,0.67999715,8800,consumer_3305
8846,0.5688175,300,consumer_3306
9763,0.6822232,7980,consumer_3308
8187,0.67999715,8800,consumer_3318
10086,0.658863,8980,consumer_3321
10087,0.74408954,8980,consumer_3327
10064,0.78754157,8800,consumer_3329
10085,0.74210984,8980,consumer_3333
10464,0.7504387,700,consumer_3339
10465,0.5267027,26000,consumer_3339
8167,0.8078603,7980,consumer_3364
8165,0.7691394,6186,consumer_3375
8166,0.8087304,8010,consumer_3380
7399,0.65491927,11800,consumer_3403
9757,0.7851347,8980,consumer_3449
1258,0.5688175,2050,consumer_3452
9756,0.80425173,7980,consumer_3454
9754,0.7851347,8980,consumer_3465
9758,0.8074758,7980,consumer_3469
10484,0.5267027,24700,consumer_3474
9755,0.78384185,8980,consumer_3476
9745,0.793149,7264,consumer_3542
9746,0.78993285,8900,consumer_3550
10538,0.594183,690,consumer_3603
10539,0.594183,850,consumer_3603
10540,0.5996301,730,consumer_3603
10541,0.5960255,1020,consumer_3603
7358,0.8090444,7980,consumer_3640
2263,0.75563705,34720,consumer_3737
8958,0.6129267,20208,consumer_3758
2773,0.58544785,3780,consumer_3862
7268,0.5890411,385000,consumer_3865
3634,0.60334086,3530,consumer_3917
1905,0.60334086,6320,consumer_3922
7785,0.6198705,14250,consumer_3971
2153,0.6821555,7980,consumer_3999
2154,0.6368957,5980,consumer_4000
2155,0.65192074,15960,consumer_4002
2152,0.65192074,13960,consumer_4003
10048,0.67027164,8800,consumer_4048
4182,0.60334086,3410,consumer_4067
7390,0.65311795,9200,consumer_4068
10095,0.65521324,7980,consumer_4100
10096,0.67999715,8800,consumer_4111
4391,0.5965491,11400,consumer_4115
7352,0.64920396,7900,consumer_4121
9712,0.77858835,10900,consumer_4175
9710,0.77990377,15510,consumer_4181
10075,0.77990377,14700,consumer_4182
10076,0.77858835,12900,consumer_4192
9917,0.7497772,3410,consumer_4193
7930,0.72440344,4000,consumer_4203
